ringno_season,yday,yday200,pfmg,sex
CC46260_2019-2020,346,146,0.31074999999999997,male
CV15035_2018-2019,54,219,1,male
CV43386_2007-2008,119,284,1,male
CC15739_2018-2019,62,227,1,male
CV56287_2009-2010,176,341,0,male
CV56908_2010-2011,29,194,0.6102500000000001,male
CV58452_2012-2013,173,338,1,male
CV56885_2010-2011,1,166,0.6415000000000001,male
CV56936_2010-2011,29,194,0.7673749999999999,male
CV69913_2018-2019,56,221,1,male
CV69720_2018-2019,359,159,0.6415000000000001,male
CV68212_2016-2017,140,305,1,male
CV56286_2009-2010,175,340,0,male
CV56193_2009-2010,145,310,1,male
CV58777_2014-2015,24,189,0.44425,male
CA49837_2021-2022,335,135,0.377125,male
CV69947_2018-2019,57,222,1,male
CV58795_2014-2015,53,218,1,male
CV69995_2018-2019,61,226,1,male
CV56654_2019-2020,339,139,0.11737500000000001,male
CV43265_2007-2008,74,239,0.563875,male
CV69732_2018-2019,359,159,0.261125,male
CV46751_2008-2009,331,131,1,male
CV56178_2009-2010,145,310,1,male
CV58761_2014-2015,333,133,1,male
CC40208_2019-2020,346,146,0.518875,male
CV69766_2018-2019,13,178,0.15375,male
CV58651_2013-2014,342,142,0.17400000000000002,male
CV56673_2019-2020,342,142,0.27225,male
CV15004_2018-2019,54,219,0.8155,male
CV69935_2018-2019,57,222,1,male
CV78843_2021-2022,355,155,0.533125,male
CV69914_2018-2019,56,221,0.769,male
CV43056_2009-2010,23,188,1,male
CV43291_2007-2008,93,258,0.8625,male
CV69789_2018-2019,51,216,0.7673749999999999,male
CV69853_2018-2019,61,226,1,male
CV67942_2015-2016,72,237,1,male
CV15040_2018-2019,54,219,0.9245,male
CV58381_2011-2012,49,214,0.7673749999999999,male
CC40201_2019-2020,345,145,1,male
CV15009_2018-2019,54,219,1,male
CV43347_2007-2008,101,266,0.9535000000000001,male
CC90873_2008-2009,93,258,1,male
CV15006_2018-2019,54,219,0.976375,male
CV56180_2009-2010,145,310,1,male
CV58352_2011-2012,14,179,0.832125,male
CV56204_2009-2010,145,310,1,male
CC46106_2019-2020,339,139,0.44425,male
CV56937_2010-2011,29,194,0.6415000000000001,male
CV56925_2010-2011,44,209,0.9845,male
CV56170_2009-2010,145,310,1,male
CV58396_2011-2012,56,221,1,male
CV58355_2011-2012,14,179,1,male
CV69860_2018-2019,61,226,1,male
CV46964_2008-2009,93,258,1,male
CV46937_2008-2009,72,237,0.9375,male
CV56659_2019-2020,341,141,1,unknown
CV58363_2011-2012,21,186,0.41575,unknown
CV27782_2006-2007,22,187,0.518875,unknown
CV53839_2009-2010,364,164,0.0315,unknown
CV69808_2018-2019,54,219,1,unknown
CV46798_2008-2009,366,166,0.22225,unknown
CC52707_2001-2002,320,120,1,unknown
CC40203_2019-2020,345,145,1,unknown
CA49846_2021-2022,351,151,0.27225,unknown
CV56833_2010-2011,351,151,0.5946250000000001,unknown
CV68205_2016-2017,140,305,1,unknown
CV56932_2010-2011,29,194,0.518875,unknown
CV69778_2018-2019,16,181,0.40287500000000004,unknown
CC09281_2019-2020,339,139,1,unknown
CV09616_2007-2008,138,303,1,unknown
CV68310_2017-2018,357,157,0.334375,unknown
CC46175_2019-2020,342,142,0.39075000000000004,unknown
CC46207_2019-2020,345,145,0.44425,unknown
CV46749_2008-2009,331,131,1,unknown
CC15742_2018-2019,75,240,1,unknown
CV56669_2019-2020,342,142,0.0105,unknown
CC03584_2019-2020,344,144,0.19824999999999998,unknown
CV56871_2010-2011,358,158,0,unknown
CA49866_2021-2022,355,155,0.518875,unknown
CV09331_2009-2010,330,130,1,unknown
CV68380_2017-2018,122,287,1,unknown
CC46255_2019-2020,346,146,0,unknown
CV56169_2009-2010,145,310,1,unknown
CV42961_2007-2008,18,183,0,unknown
CV46790_2008-2009,366,166,0.063625,unknown
CC46269_2019-2020,346,146,0.43112500000000004,unknown
CC46221_2019-2020,345,145,0.14125,unknown
CV68080_2016-2017,8,173,0.085875,unknown
CV68126_2016-2017,42,207,0.9405,unknown
CV11230_2011-2012,316,116,1,unknown
CV42926_2007-2008,321,121,1,unknown
